,/lpc/it8688e/control/0,/lpc/it8688e/control/1,/lpc/it8688e/control/2,/lpc/it8688e/control/3,/lpc/it8688e/control/4,/lpc/it8688e/voltage/0,/lpc/it8688e/voltage/1,/lpc/it8688e/voltage/2,/lpc/it8688e/voltage/3,/lpc/it8688e/voltage/4,/lpc/it8688e/voltage/5,/lpc/it8688e/voltage/6,/lpc/it8688e/voltage/7,/lpc/it8688e/voltage/8,/lpc/it8688e/temperature/0,/lpc/it8688e/temperature/1,/lpc/it8688e/temperature/2,/lpc/it8688e/temperature/3,/lpc/it8688e/temperature/4,/lpc/it8688e/temperature/5,/lpc/it8688e/fan/0,/amdcpu/0/load/1,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/0,/amdcpu/0/power/0,/amdcpu/0/clock/0,/amdcpu/0/power/2,/amdcpu/0/power/3,/amdcpu/0/power/4,/amdcpu/0/power/5,/amdcpu/0/power/6,/amdcpu/0/power/7,/amdcpu/0/temperature/0,/amdcpu/0/temperature/4,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/power/1,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/control/0,/nvidiagpu/0/fan/0,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Voltage #1","Voltage #2","Voltage #3","Voltage #4","Voltage #5","Voltage #6","Voltage #7","Standby +3.3V","VBat","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #5","Temperature #6","Fan #1","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Total","CPU Package","Bus Speed","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU CCD #1","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Cores","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Fan","GPU","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Temperature","Used Space","Used Space"
09/02/2020 02:54:12,,,,,,0.996,2.016,2.052,2.004,1.104,0.912,1.38,3.288,3.096,30,31,54,30,32,41,3183.96216,3.90625,10.15625,5.46875,0.78125,1.5625,10.9375,5.46875,33.17927,99.8132,0.86505264,1.92423975,0.88073653,0.6562532,0.639766634,1.450574,54.75,38.25,3767.94849,3767.94849,3767.94849,3473.49951,4341.87451,4341.87451,6.41662264,36.35282,5.798458,10.1520462,33,300,405.000031,0,2,6,0,0,41,1511,6144,1046,5098,17.02474,19.1600018,0,0,26,1.030098,35.7796173
09/02/2020 02:54:22,,,,,,1.128,2.016,2.052,2.004,1.104,0.912,1.38,3.288,3.096,30,31,41,30,32,41,2700,3.076923,0.7692337,1.53846145,0.7692337,1.53846145,3.8461566,1.92308426,30.4154243,99.8132,0.6128353,0.6734072,0.80998224,0.499566436,0.567406356,0.899231732,41.25,37.5,3368.69556,3368.69556,3368.69556,3368.69556,3368.69556,3368.69556,4.06242943,36.1805267,5.770977,10.1795273,32,300,405.000031,0,0,5,0,0,41,1500,6144,1046,5098,17.02474,19.25,0,0,26,1.030098,35.7796173
09/02/2020 02:54:32,,,,,,1.392,2.016,2.052,2.004,1.104,0.912,1.38,3.288,3.096,30,31,50,30,32,41,2789.256,2.30768919,5.384612,0.7692337,0.7692337,0,3.8461566,2.17949748,30.6542778,99.8132,0.625189543,1.05025029,0.6814786,0.4922039,0.537892938,0.94638145,50.75,38.75,3767.94849,3767.94849,3767.94849,3767.94849,3767.94849,3767.94849,4.333397,36.0374146,5.74815,10.2023544,33,300,405.000031,0,7,7,0,0,41,1502,6144,1041.3125,5102.6875,16.9484463,19.381,8.7890625,0,26,1.030098,35.779686
09/02/2020 02:54:42,,,,,,1.416,2.016,2.04,2.004,1.104,0.912,1.38,3.288,3.096,30,31,48,30,32,41,2800.82983,3.125,3.90625,2.34375,2.34375,2.34375,8.59375,3.77604365,34.8932533,99.8132,1.07734835,1.3733933,1.024662,0.853266656,1.00997353,1.780766,48.125,40.25,4316.921,4316.921,4316.921,4316.921,4316.921,4316.921,7.11941,36.1166039,5.76078033,10.189724,32,300,405.000031,0,7,6,0,0,41,1502,6144,1036.3125,5107.6875,16.8670654,19.8380013,6.8359375,2.9296875,26,1.030098,35.779686
09/02/2020 02:54:53,,,,,,0.948,2.016,2.04,2.004,1.104,0.912,1.38,3.288,3.096,29,31,54,30,32,41,2812.5,1.5625,3.125,0,0.78125,0.78125,4.6875,1.82291865,30.541647,99.8132,0.5811692,0.6865384,0.5902231,0.497413427,0.5424693,0.8693227,54.375,39.25,4341.87451,4341.87451,4341.87451,4341.87451,4341.87451,4341.87451,3.767136,36.19328,5.77301025,10.177494,32,300,405.000031,0,1,5,0,0,41,1509,6144,1038,5106,16.8945313,19.1990013,0,0,26,1.030098,35.779686
09/02/2020 02:55:03,,,,,,1.44,2.016,2.04,2.004,1.104,0.912,1.38,3.288,3.096,30,31,49,30,32,40,2922.078,1.53846145,3.076923,3.8461566,1.53846145,0.7692337,6.153846,2.82051563,30.1947613,99.8132,0.5919181,0.6210279,0.6239943,0.5593176,0.54689765,1.15769291,49.875,37.25,3194.02246,3194.02246,3194.02246,3194.02246,3194.02246,3194.02246,4.100848,36.1450424,5.765316,10.1851883,32,300,405.000031,0,4,6,0,0,41,1501,6144,1039.5,5104.5,16.9189453,19.228,0,0,26,1.030098,35.7796326
09/02/2020 02:55:13,,,,,,1.416,2.016,2.04,2.004,1.104,0.912,1.38,3.288,3.096,30,31,49,30,32,40,2973.56836,3.90625,6.25,2.34375,2.34375,3.125,6.25,4.036456,35.6446762,99.8132,0.9785408,1.468185,0.9968938,0.893961,1.132551,1.82761836,49,38.25,3568.322,3568.322,3568.322,3568.322,3568.322,3568.322,7.29775047,39.11639,6.23926163,9.711243,32,300,405.000031,0,1,6,0,0,41,1510,6144,1124.125,5019.875,18.2963047,19.1820011,0,0,26,1.030098,35.7796326
09/02/2020 02:55:23,,,,,,1.416,2.016,2.04,2.004,1.104,0.912,1.38,3.288,3.096,29,31,66,30,32,41,3391.95972,10.9375,28.125,36.71875,6.25,6.25,16.40625,17.4479179,48.98012,99.8132,1.99338579,4.9263525,7.416297,1.75539148,2.27706385,3.28759456,66.375,59.25,4242.061,4242.061,4242.061,4242.061,4242.061,4242.061,21.6560841,39.64804,6.32406235,9.626442,32,300,405.000031,0,12,8,0,0,41,1504,6144,1134.375,5009.625,18.4631348,19.2860012,2.9296875,0.9765625,26,1.030098,35.7796326
09/02/2020 02:55:33,,,,,,1.452,2.016,2.052,2.004,1.104,0.912,1.38,3.288,3.096,29,31,51,30,32,40,3068.182,10.9375,4.6875,3.90625,3.125,1.5625,14.0625,6.380206,40.0566521,99.8132,1.81330955,2.12851787,1.529651,1.30944121,1.34756815,2.81457543,51.75,45,4341.87451,4341.87451,4341.87451,4341.87451,4341.87451,4341.87451,10.9430628,39.2031364,6.25309753,9.697407,33,375.000031,405.000031,0,18,12,6,0,41,1509,6144,1148.6875,4995.3125,18.696085,19.752,4.8828125,1.953125,26,1.030098,35.7964859
09/02/2020 02:55:43,,,,,,1.392,2.016,2.052,2.004,1.104,0.912,1.38,3.288,3.096,29,31,51,30,32,40,2922.078,19.53125,30.46875,22.65625,11.71875,10.9375,26.5625,20.3125,47.75998,99.8132,2.570133,5.04669,3.85506916,2.00830913,2.38411641,4.326769,51.125,43.5,4341.87451,4341.87451,4341.87451,4341.87451,4341.87451,4341.87451,20.1910858,39.2544823,6.26128769,9.689217,33,375.000031,405.000031,0,31,20,7,1,41,1511,6144,1195.043,4948.957,19.45057,19.894001,4.8828125,0.9765625,26,1.030098,35.7964859
